图片路径,皮肤质感,皮肤皱纹,年龄范围,发型,发色,表情,性别,衣服类型,眼镜,帽子,首饰
datasets/test_imgs\1.jpg,1,0,4,3,0,6,1,14,0,1,1
datasets/test_imgs\2.jpg,1,0,3,3,0,3,0,3,2,1,1
datasets/test_imgs\3.jpg,1,0,5,3,0,3,1,8,2,1,1
datasets/test_imgs\4.jpg,1,0,4,3,1,6,0,13,0,1,1
datasets/test_imgs\5.jpg,1,0,4,3,0,6,1,9,0,1,1
datasets/test_imgs\6.jpg,1,0,3,3,0,3,0,1,0,1,1
datasets/test_imgs\7.jpg,1,0,4,3,0,3,1,12,1,0,0
datasets/test_imgs\8.jpg,1,0,3,3,0,3,0,14,2,1,0
datasets/test_imgs\9.jpeg,1,0,5,3,0,6,1,0,0,1,1
datasets/test_imgs\10.jpg,1,0,3,3,0,3,1,12,1,1,1
datasets/test_imgs\11.jpeg,1,0,4,3,0,3,1,9,2,1,1
datasets/test_imgs\12.jpg,1,0,5,3,0,6,1,14,2,1,0
datasets/test_imgs\13.jpg,2,0,4,3,0,3,1,12,2,1,1
datasets/test_imgs\14.jpg,1,0,3,3,0,3,1,8,2,1,0
datasets/test_imgs\15.jpg,2,0,4,3,0,3,1,12,0,1,1
datasets/test_imgs\16.jpeg,1,0,3,3,0,3,0,8,0,1,1
datasets/test_imgs\17.png,2,0,4,3,0,3,1,10,2,1,1
datasets/test_imgs\18.jpg,1,0,4,3,3,6,0,14,2,1,1
datasets/test_imgs\19.jpg,2,0,4,3,0,3,1,14,2,1,1
datasets/test_imgs\20.jpg,1,1,7,3,4,3,1,0,0,1,1
datasets/test_imgs\21.jpg,1,0,3,3,2,3,0,9,2,1,0
datasets/test_imgs\22.jpg,0,1,8,3,4,3,1,5,2,1,1
datasets/test_imgs\23.jpg,1,0,3,3,0,3,1,8,0,1,0
datasets/test_imgs\24.jpg,1,0,3,3,0,6,0,3,2,1,0
datasets/test_imgs\25.jpg,1,0,6,3,0,3,1,8,1,1,1
datasets/test_imgs\26.jpg,1,0,3,3,1,3,0,2,2,1,0
datasets/test_imgs\27.jpg,1,0,3,3,0,6,1,12,0,1,1
datasets/test_imgs\28.jpg,0,1,4,3,0,6,1,10,2,0,1
datasets/test_imgs\29.jpg,1,0,4,3,0,3,1,0,2,1,0
datasets/test_imgs\30.jpg,1,0,4,3,0,3,1,2,1,1,0
